Tamanho da lista,Tempo Médio (s),Lista Ordenada
1000,0.0009996999986469745,Desordenada
1500,0.0020157599967205895,Desordenada
2000,0.002539299995987676,Desordenada
3000,0.0037197499914327636,Desordenada
500,0.0005279300035908818,Desordenada
1000,0.0011048600019421429,Desordenada
1500,0.0016847999999299646,Desordenada
2000,0.002319780000834726,Desordenada
3000,0.0034562300017569212,Desordenada
500,0.0004348099988419563,Desordenada
1000,0.0010395800025435164,Desordenada
1500,0.0016893899970455094,Desordenada
2000,0.0024300499935634434,Desordenada
3000,0.0035110599972540514,Desordenada
500,0.00042671000410337,Desordenada
1000,0.0010416499979328364,Desordenada
1500,0.0015629599918611347,Desordenada
2000,0.002213660001871176,Desordenada
3000,0.0034836800012271853,Desordenada
500,0.00046500999887939544,Desordenada
1000,0.00111192999756895,Desordenada
1500,0.001555530002224259,Desordenada
2000,0.002250860002823174,Desordenada
3000,0.00408035000145901,Desordenada
500,0.0004707199928816408,Desordenada
1000,0.0009839799924520776,Desordenada
1500,0.0015996600006474182,Desordenada
2000,0.0022826400032499804,Desordenada
3000,0.003830099999322556,Desordenada
500,0.00045261999766808,Desordenada
1000,0.0010019500012276694,Desordenada
1500,0.0016014700086088851,Desordenada
2000,0.0021986399951856583,Desordenada
3000,0.003931520000332966,Desordenada
500,0.000447900002473034,Desordenada
1000,0.0010676000005332754,Desordenada
1500,0.001587389997439459,Desordenada
2000,0.002158400006010197,Desordenada
3000,0.0035861600015778096,Desordenada
500,0.0004290500015486032,Desordenada
1000,0.0011176300002261996,Desordenada
1500,0.0016135599958943202,Desordenada
2000,0.002488380004069768,Desordenada
3000,0.0037248099979478866,Desordenada
500,0.0004500300041399896,Desordenada
1000,0.0013300699938554317,Desordenada
1500,0.0016428000002633781,Desordenada
2000,0.002350810001371428,Desordenada
3000,0.003483529997174628,Desordenada
500,0.0004644200031179935,Desordenada
1000,0.0010499699972569942,Desordenada
1500,0.0017437699978472665,Desordenada
2000,0.00214714000467211,Desordenada
3000,0.003824900000472553,Desordenada
500,0.0004619500046828762,Desordenada
1000,0.0010013500053901226,Desordenada
1500,0.0017503999988548458,Desordenada
2000,0.0021572700003162026,Desordenada
3000,0.0034434600034728645,Desordenada
500,0.0004412499984027818,Desordenada
1000,0.0009836000012001024,Desordenada
1500,0.0016794599941931665,Desordenada
2000,0.0022841400001198052,Desordenada
3000,0.0034433199965860696,Desordenada
500,0.0005564599967328831,Desordenada
1000,0.0009580500016454607,Desordenada
1500,0.0019249600038165227,Desordenada
2000,0.002145369999925606,Desordenada
3000,0.0034789999976055697,Desordenada
500,0.0004435999959241599,Desordenada
1000,0.0011214999947696924,Desordenada
1500,0.0015624199993908405,Desordenada
2000,0.00226979999570176,Desordenada
3000,0.0034690500062424688,Desordenada
500,0.0005858599994098768,Desordenada
1000,0.0010135799937415868,Desordenada
1500,0.0018887499987613409,Desordenada
2000,0.002470179996453226,Desordenada
3000,0.0035674900020239873,Desordenada
500,0.0005361799994716421,Desordenada
1000,0.001000549999298528,Desordenada
1500,0.0017217199958395213,Desordenada
2000,0.0026129100006073713,Desordenada
3000,0.003710839996347204,Desordenada
500,0.00047859000333119186,Desordenada
1000,0.0011403499956941232,Desordenada
1500,0.001551400002790615,Desordenada
2000,0.002350359997944906,Desordenada
3000,0.0034145599958719684,Desordenada
500,0.0004515499982517213,Desordenada
1000,0.0009944300050847231,Desordenada
1500,0.001683420006884262,Desordenada
2000,0.0021507900033611803,Desordenada
3000,0.003470199997536838,Desordenada
500,0.00042869999015238136,Desordenada
1000,0.0010005900025134907,Desordenada
1500,0.0021365699998568744,Desordenada
2000,0.0022663100011413918,Desordenada
3000,0.003671529996790923,Desordenada
500,0.0006199800001922995,Desordenada
1000,0.0009995899948989973,Desordenada
1500,0.0016492099966853857,Desordenada
2000,0.00233723999990616,Desordenada
3000,0.003713190002599731,Desordenada
500,0.0006082499923650176,Desordenada
1000,0.0009659499977715313,Desordenada
1500,0.0017746999976225198,Desordenada
2000,0.0021338000049581753,Desordenada
3000,0.0037267900013830514,Desordenada
500,0.00044914000027347357,Desordenada
1000,0.00103399999497924,Desordenada
1500,0.001561139995465055,Desordenada
2000,0.0023849799996241926,Desordenada
3000,0.003849340000306256,Desordenada
500,0.0004310300020733848,Desordenada
1000,0.0009922199998982251,Desordenada
1500,0.0018334499996853991,Desordenada
2000,0.002601699996739626,Desordenada
3000,0.003492299999925308,Desordenada
500,0.0004708799999207258,Desordenada
1000,0.0009776000020792707,Desordenada
1500,0.0017947200016351418,Desordenada
2000,0.0024112699960824103,Desordenada
3000,0.0035743599990382792,Desordenada
500,0.00046351000491995364,Desordenada
1000,0.0011944400059292093,Desordenada
1500,0.0015879300015512853,Desordenada
2000,0.0022281199984718115,Desordenada
3000,0.00346469999931287,Desordenada
500,0.00044105999986641107,Desordenada
1000,0.0010460999968927354,Desordenada
1500,0.0016556099988520145,Desordenada
2000,0.002113480007392354,Desordenada
3000,0.004008550004800782,Desordenada
500,0.0004409200046211481,Desordenada
1000,0.00097061000415124,Desordenada
1500,0.0016553099994780496,Desordenada
2000,0.0022802199993748216,Desordenada
3000,0.0035434999968856572,Desordenada
500,0.0004628800030332059,Desordenada
1000,0.0010517599992454052,Desordenada
1500,0.0015823800000362097,Desordenada
2000,0.0022164099995279686,Desordenada
3000,0.0038084100000560285,Desordenada
500,0.00044932999298907816,Desordenada
1000,0.0011185899988049642,Desordenada
1500,0.0015821299952222035,Desordenada
2000,0.0022667500044917686,Desordenada
3000,0.003745159995742142,Desordenada
500,0.00042930000054184345,Desordenada
1000,0.0010240400006296113,Desordenada
1500,0.0016228399937972427,Desordenada
2000,0.002271709992783144,Desordenada
3000,0.0034985900012543423,Desordenada
500,0.0004369900067104027,Desordenada
1000,0.0010481400007847697,Desordenada
1500,0.0019189100014045835,Desordenada
2000,0.0026057599985506385,Desordenada
3000,0.003985670002293773,Desordenada
500,0.0004346100060502067,Desordenada
1000,0.0011703299940563738,Desordenada
1500,0.0016769300040323288,Desordenada
2000,0.0022835900017526,Desordenada
3000,0.003568699999595992,Desordenada
500,0.0004415999923367053,Desordenada
1000,0.0009610300068743527,Desordenada
1500,0.001676750005572103,Desordenada
2000,0.0022130299970740453,Desordenada
3000,0.003691390005405992,Desordenada
500,0.00045580999576486645,Desordenada
1000,0.0010387100017396733,Desordenada
1500,0.0018406699964543805,Desordenada
2000,0.0021869299991521983,Desordenada
3000,0.003730999995605089,Desordenada
500,0.0005386900011217222,Desordenada
1000,0.0011028200009604917,Desordenada
1500,0.001924020002479665,Desordenada
2000,0.0021966799977235496,Desordenada
3000,0.004266739994636737,Desordenada
500,0.0005387199984397739,Desordenada
1000,0.0011835900018922984,Desordenada
1500,0.0017697299947030843,Desordenada
2000,0.002243409998482093,Desordenada
3000,0.004377269998076372,Desordenada
500,0.0006510499923024326,Desordenada
1000,0.0013176299980841577,Desordenada
1500,0.001735239999834448,Desordenada
2000,0.00303002999862656,Desordenada
3000,0.004371040005935356,Desordenada
500,0.00046242999378591775,Desordenada
1000,0.0010361500026192516,Desordenada
1500,0.0018076600070344284,Desordenada
2000,0.0022765499976230784,Desordenada
3000,0.003601300000445917,Desordenada
500,0.000512640000670217,Desordenada
1000,0.001492549997055903,Desordenada
1500,0.0018513299990445375,Desordenada
2000,0.002456919994438067,Desordenada
3000,0.003892409996478818,Desordenada
500,0.0004254599945852533,Desordenada
1000,0.001010920005501248,Desordenada
1500,0.0015714099921751768,Desordenada
2000,0.0021565799979725853,Desordenada
3000,0.0036190600018016993,Desordenada
500,0.00042864999850280585,Desordenada
1000,0.0010355500038713218,Desordenada
1500,0.0015537200029939412,Desordenada
2000,0.0022971399972448125,Desordenada
3000,0.0034373999980743973,Desordenada
500,0.0004315400059567764,Desordenada
1000,0.0010782099969219416,Desordenada
1500,0.0019560599990654736,Desordenada
2000,0.002332360009313561,Desordenada
