Tamanho da lista,Tempo Médio (s),Lista Ordenada
1000,0.0010874100058572366,Desordenada
1500,0.001844300000811927,Desordenada
2000,0.0026179700042121114,Desordenada
3000,0.0038291300006676465,Desordenada
500,0.0005031200009398163,Desordenada
1000,0.0010376400023233145,Desordenada
1500,0.0017786100041121244,Desordenada
2000,0.0024219299957621843,Desordenada
3000,0.004153160002897493,Desordenada
500,0.0004718700045486912,Desordenada
1000,0.001107649996993132,Desordenada
1500,0.0017141399963293224,Desordenada
2000,0.0026385500008473174,Desordenada
3000,0.0038155000016558915,Desordenada
500,0.0004592000012053177,Desordenada
1000,0.0011762800015276298,Desordenada
1500,0.0018788100016536192,Desordenada
2000,0.0023209700040752066,Desordenada
3000,0.004112119993078522,Desordenada
500,0.0006083899992518127,Desordenada
1000,0.0011487899901112542,Desordenada
1500,0.002019899996230379,Desordenada
2000,0.002682259998982772,Desordenada
3000,0.004076190001796931,Desordenada
500,0.00048639000451657923,Desordenada
1000,0.0010964899993268773,Desordenada
1500,0.0017938000033609568,Desordenada
2000,0.002631879996624775,Desordenada
3000,0.003817209994303994,Desordenada
500,0.000510989993927069,Desordenada
1000,0.0011771099991165102,Desordenada
1500,0.001867710001533851,Desordenada
2000,0.0027594099927227946,Desordenada
3000,0.004335869994247332,Desordenada
500,0.0006258200039155782,Desordenada
1000,0.0012806200014892966,Desordenada
1500,0.0017638299963437022,Desordenada
2000,0.002708670002175495,Desordenada
3000,0.00415096000651829,Desordenada
500,0.0006541999988257885,Desordenada
1000,0.0011460899986559525,Desordenada
1500,0.001759850006783381,Desordenada
2000,0.0028782099980162457,Desordenada
3000,0.0038007299997843804,Desordenada
500,0.0006886400020448491,Desordenada
1000,0.0015766399941639976,Desordenada
1500,0.002560540000558831,Desordenada
2000,0.002860769996186718,Desordenada
3000,0.0038553399994270877,Desordenada
500,0.0006178199953865259,Desordenada
1000,0.0012107000016840174,Desordenada
1500,0.0016979999956674874,Desordenada
2000,0.002914639996015467,Desordenada
3000,0.0036787200107937677,Desordenada
500,0.0005257100012386218,Desordenada
1000,0.0011314400006085634,Desordenada
1500,0.0018388200027402491,Desordenada
2000,0.002329280000412837,Desordenada
3000,0.004145440002321266,Desordenada
500,0.0005094500025734306,Desordenada
1000,0.001232239999808371,Desordenada
1500,0.0017541000066557898,Desordenada
2000,0.0026454999955603854,Desordenada
3000,0.003831229996285401,Desordenada
500,0.0004881899949396029,Desordenada
1000,0.0011326099978759886,Desordenada
1500,0.0017643600032897667,Desordenada
2000,0.002426829998148605,Desordenada
3000,0.004009570000926032,Desordenada
500,0.0004966099979355932,Desordenada
1000,0.0011961900017922744,Desordenada
1500,0.0018061400071019307,Desordenada
2000,0.00257461000001058,Desordenada
3000,0.003897009993670508,Desordenada
500,0.0005114699975820258,Desordenada
1000,0.001149150004494004,Desordenada
1500,0.0019882500026142226,Desordenada
2000,0.0024211500014644114,Desordenada
3000,0.0038494400010677054,Desordenada
500,0.0004878699983237311,Desordenada
1000,0.0011318399978335948,Desordenada
1500,0.0019083000079263002,Desordenada
2000,0.002597239994793199,Desordenada
3000,0.004174049996072427,Desordenada
500,0.0005464199988637119,Desordenada
1000,0.0012484999984735622,Desordenada
1500,0.0018640800029970706,Desordenada
2000,0.002427179997903295,Desordenada
3000,0.003999229997862131,Desordenada
500,0.0006907900009537115,Desordenada
1000,0.0012315200059674681,Desordenada
1500,0.0021549500001128764,Desordenada
2000,0.003088809995097108,Desordenada
3000,0.004144030000315979,Desordenada
500,0.000552479998441413,Desordenada
1000,0.0014653499994892627,Desordenada
1500,0.002051889995345846,Desordenada
2000,0.0023760200070682912,Desordenada
3000,0.004105239998898469,Desordenada
500,0.00046402000007219615,Desordenada
1000,0.0011012000002665445,Desordenada
1500,0.0018827899999450891,Desordenada
2000,0.0027656200021738187,Desordenada
3000,0.004061549995094537,Desordenada
500,0.0004858199943555519,Desordenada
1000,0.0011126700002932921,Desordenada
1500,0.0019797399960225447,Desordenada
2000,0.002649869993911125,Desordenada
3000,0.004237570002442226,Desordenada
500,0.0004792699968675151,Desordenada
1000,0.0010667300026398151,Desordenada
1500,0.001972190002561547,Desordenada
2000,0.00244532999349758,Desordenada
3000,0.003978689992800355,Desordenada
500,0.0004577299958327785,Desordenada
1000,0.0010337299987440928,Desordenada
1500,0.0019296100013889371,Desordenada
2000,0.002609969992772676,Desordenada
3000,0.003907579998485744,Desordenada
500,0.000468039998668246,Desordenada
1000,0.0010574599989922717,Desordenada
1500,0.0017585800058441236,Desordenada
2000,0.002305809993413277,Desordenada
3000,0.0039000000018859283,Desordenada
500,0.0005533700023079291,Desordenada
1000,0.0010594200051855297,Desordenada
1500,0.0016643700015265494,Desordenada
2000,0.0026142300019273536,Desordenada
3000,0.0040706100000534205,Desordenada
500,0.0005651900020893664,Desordenada
1000,0.0010319700028048827,Desordenada
1500,0.0017057699966244399,Desordenada
2000,0.0023830999940400942,Desordenada
3000,0.003938650002237409,Desordenada
500,0.0005084800010081381,Desordenada
1000,0.0010449399967910721,Desordenada
1500,0.0020767300069564954,Desordenada
2000,0.0024199600011343136,Desordenada
3000,0.0038305999943986533,Desordenada
500,0.00046093999990262093,Desordenada
1000,0.0010027300042565912,Desordenada
1500,0.001703379995888099,Desordenada
2000,0.002363409995450638,Desordenada
3000,0.0039517199998954314,Desordenada
500,0.0004935200064210221,Desordenada
1000,0.0011007500026607886,Desordenada
1500,0.0020227900007739664,Desordenada
2000,0.0028622399957384916,Desordenada
3000,0.004365259996848181,Desordenada
500,0.0005280100012896582,Desordenada
1000,0.0012102199980290607,Desordenada
1500,0.002045380001072772,Desordenada
2000,0.002549659999203868,Desordenada
3000,0.004239669998059981,Desordenada
500,0.0005099300004076212,Desordenada
1000,0.0012052299949573352,Desordenada
1500,0.0016646100062644108,Desordenada
2000,0.0024368899961700664,Desordenada
3000,0.004189770002267323,Desordenada
500,0.000558999998611398,Desordenada
1000,0.0010889100027270614,Desordenada
1500,0.0019450100051471963,Desordenada
2000,0.002652939999825321,Desordenada
3000,0.004531790004693903,Desordenada
500,0.0005232399969827383,Desordenada
1000,0.001108099997509271,Desordenada
1500,0.001678790003643371,Desordenada
2000,0.00254302000394091,Desordenada
3000,0.004137169997557066,Desordenada
500,0.0005778699996881187,Desordenada
1000,0.0010602899943478405,Desordenada
1500,0.0019138100004056468,Desordenada
2000,0.002490439999382943,Desordenada
3000,0.0040596099890535696,Desordenada
500,0.0004908300034003332,Desordenada
1000,0.001280959995347075,Desordenada
1500,0.0016857900016475468,Desordenada
2000,0.0026709599944297223,Desordenada
3000,0.0037260600045556204,Desordenada
500,0.0005415000050561503,Desordenada
1000,0.0012111400021240116,Desordenada
1500,0.0018301500007510186,Desordenada
2000,0.0024386300006881355,Desordenada
3000,0.003854679997311905,Desordenada
500,0.00048239000607281924,Desordenada
1000,0.0010324899980332703,Desordenada
1500,0.0019621499959612265,Desordenada
2000,0.0028186899959109723,Desordenada
3000,0.004372350001358427,Desordenada
500,0.0005006399995181709,Desordenada
1000,0.0010391599993454293,Desordenada
1500,0.0019044599990593269,Desordenada
2000,0.0026333400019211695,Desordenada
3000,0.003940159996272996,Desordenada
500,0.0005300199962221086,Desordenada
1000,0.0010299400048097596,Desordenada
1500,0.0018067400000290946,Desordenada
2000,0.002551939999102615,Desordenada
3000,0.0038230499980272726,Desordenada
500,0.00047305000189226123,Desordenada
1000,0.0012047600059304387,Desordenada
1500,0.0021078700054204093,Desordenada
2000,0.0025562799943145364,Desordenada
3000,0.003977220001979731,Desordenada
500,0.0006638500024564564,Desordenada
1000,0.0012191100046038627,Desordenada
1500,0.0017919700010679662,Desordenada
2000,0.0025308399985078723,Desordenada
3000,0.0039016999973682685,Desordenada
500,0.00047270999930333347,Desordenada
1000,0.0011603000020841137,Desordenada
1500,0.0020072200015420092,Desordenada
2000,0.002338579998468049,Desordenada
3000,0.004116549997706898,Desordenada
500,0.000453219999326393,Desordenada
1000,0.001081999999587424,Desordenada
1500,0.0017081100028008222,Desordenada
2000,0.002517999999690801,Desordenada
3000,0.00395104999479372,Desordenada
500,0.00048555000394117086,Desordenada
1000,0.001104080001823604,Desordenada
1500,0.0017867899994598701,Desordenada
2000,0.00233042000036221,Desordenada
3000,0.004423359999782406,Desordenada
500,0.0005502600019099191,Desordenada
1000,0.0013191899954108522,Desordenada
1500,0.0023675499978708103,Desordenada
2000,0.0027117300021927805,Desordenada
3000,0.003841220002504997,Desordenada
500,0.0006156900024507194,Desordenada
1000,0.0013304100080858915,Desordenada
1500,0.0017210799996973947,Desordenada
2000,0.002608509999117814,Desordenada
3000,0.004188200004864484,Desordenada
500,0.0005115200037835166,Desordenada
1000,0.001132110002799891,Desordenada
1500,0.001697169998078607,Desordenada
2000,0.0026486099930480124,Desordenada
3000,0.004262530000414699,Desordenada
500,0.0005312299996148795,Desordenada
1000,0.0011240599997108802,Desordenada
1500,0.0018655899970326574,Desordenada
2000,0.0024810100061586128,Desordenada
3000,0.004013470001518726,Desordenada
500,0.00047208000032696875,Desordenada
1000,0.0011787099996581674,Desordenada
1500,0.0019707700033904985,Desordenada
2000,0.0024617699993541462,Desordenada
3000,0.00373043000290636,Desordenada
500,0.0005214000004343689,Desordenada
1000,0.0011197500018170104,Desordenada
1500,0.0018942799972137437,Desordenada
2000,0.0025830899947322907,Desordenada
3000,0.003977629996370524,Desordenada
500,0.0004774500004714355,Desordenada
1000,0.0011934899986954406,Desordenada
1500,0.00167850999860093,Desordenada
2000,0.0025121900020167232,Desordenada
3000,0.0038463299977593126,Desordenada
