Tamanho da lista,Tempo Médio (s),Lista Ordenada
3000,0.35584138000849636,Ordenada ao contrário
500,0.007171449973247946,Ordenada ao contrário
1000,0.027714430016931146,Ordenada ao contrário
1500,0.06161396001698449,Ordenada ao contrário
2000,0.10856708999490365,Ordenada ao contrário
3000,0.23772920998744668,Ordenada ao contrário
500,0.007049209997057914,Ordenada ao contrário
1000,0.027975339989643543,Ordenada ao contrário
1500,0.06112939000595361,Ordenada ao contrário
2000,0.10912358000641689,Ordenada ao contrário
3000,0.2558160300017335,Ordenada ao contrário
500,0.0064366000005975366,Ordenada ao contrário
1000,0.02743825999787077,Ordenada ao contrário
1500,0.06278350999346002,Ordenada ao contrário
2000,0.11015181001275778,Ordenada ao contrário
3000,0.24604363999096676,Ordenada ao contrário
500,0.006672589993104339,Ordenada ao contrário
1000,0.02734232002403587,Ordenada ao contrário
1500,0.061238160019274804,Ordenada ao contrário
2000,0.10985033998731523,Ordenada ao contrário
3000,0.247977690002881,Ordenada ao contrário
500,0.006419410009402782,Ordenada ao contrário
1000,0.027121819998137654,Ordenada ao contrário
1500,0.06395015000598506,Ordenada ao contrário
2000,0.11335185000207275,Ordenada ao contrário
3000,0.2617514800163917,Ordenada ao contrário
500,0.0065614499966613945,Ordenada ao contrário
1000,0.026322350010741503,Ordenada ao contrário
1500,0.05863858999218792,Ordenada ao contrário
2000,0.10601145997643471,Ordenada ao contrário
3000,0.2333574299933389,Ordenada ao contrário
500,0.006419190007727593,Ordenada ao contrário
1000,0.027062369987834244,Ordenada ao contrário
1500,0.059208579990081486,Ordenada ao contrário
2000,0.10544642000459134,Ordenada ao contrário
3000,0.23594182998640462,Ordenada ao contrário
500,0.006506550021003932,Ordenada ao contrário
1000,0.027385029988363386,Ordenada ao contrário
1500,0.060507979989051816,Ordenada ao contrário
2000,0.10828502000076697,Ordenada ao contrário
3000,0.24370081000961363,Ordenada ao contrário
500,0.006639860023278743,Ordenada ao contrário
1000,0.0272916299989447,Ordenada ao contrário
1500,0.0618335299892351,Ordenada ao contrário
2000,0.1136676900088787,Ordenada ao contrário
3000,0.24426061001140625,Ordenada ao contrário
500,0.007691770023666322,Ordenada ao contrário
1000,0.02924883000086993,Ordenada ao contrário
1500,0.06485045000445097,Ordenada ao contrário
2000,0.11335965999169276,Ordenada ao contrário
3000,0.2538618400110863,Ordenada ao contrário
500,0.006388400017749518,Ordenada ao contrário
