Tamanho da lista,Tempo Médio (s),Lista Ordenada
3000,0.3222233100095764,Ordenada ao contrário
500,0.007512470008805394,Ordenada ao contrário
1000,0.03386961999349296,Ordenada ao contrário
1500,0.07758173999027348,Ordenada ao contrário
2000,0.13607113999896683,Ordenada ao contrário
3000,0.30766668998403474,Ordenada ao contrário
500,0.007484549994114786,Ordenada ao contrário
1000,0.033333890000358225,Ordenada ao contrário
1500,0.07435753999161535,Ordenada ao contrário
2000,0.13475633001653478,Ordenada ao contrário
3000,0.315326950000599,Ordenada ao contrário
500,0.00792557000531815,Ordenada ao contrário
1000,0.03321649999707006,Ordenada ao contrário
1500,0.07487305999384261,Ordenada ao contrário
2000,0.13623579000704922,Ordenada ao contrário
3000,0.30459883001167326,Ordenada ao contrário
500,0.007591940014390275,Ordenada ao contrário
1000,0.03219633001135662,Ordenada ao contrário
1500,0.07535882000811397,Ordenada ao contrário
2000,0.13426208000746556,Ordenada ao contrário
3000,0.3063005199946929,Ordenada ao contrário
500,0.007637470006011426,Ordenada ao contrário
1000,0.03225926999002695,Ordenada ao contrário
1500,0.07557707999949344,Ordenada ao contrário
2000,0.13594602000084705,Ordenada ao contrário
3000,0.30731266999500806,Ordenada ao contrário
500,0.007680399989476427,Ordenada ao contrário
1000,0.032147839991375805,Ordenada ao contrário
1500,0.0743635699909646,Ordenada ao contrário
2000,0.1398592299898155,Ordenada ao contrário
3000,0.3176146699930541,Ordenada ao contrário
500,0.0077602400036994364,Ordenada ao contrário
1000,0.03237774997833185,Ordenada ao contrário
1500,0.07624859999050386,Ordenada ao contrário
2000,0.13875673998845742,Ordenada ao contrário
3000,0.3163798399909865,Ordenada ao contrário
500,0.007667159999255091,Ordenada ao contrário
1000,0.03202159999636933,Ordenada ao contrário
1500,0.07624764000065624,Ordenada ao contrário
2000,0.13523965000058524,Ordenada ao contrário
3000,0.30695585000212305,Ordenada ao contrário
500,0.007609679986489937,Ordenada ao contrário
1000,0.03214975998853333,Ordenada ao contrário
1500,0.074730500014266,Ordenada ao contrário
2000,0.1490019800083246,Ordenada ao contrário
3000,0.3058782100037206,Ordenada ao contrário
500,0.007591950008645654,Ordenada ao contrário
1000,0.03264825999503955,Ordenada ao contrário
1500,0.07387441999744623,Ordenada ao contrário
2000,0.13689656998612917,Ordenada ao contrário
3000,0.3046058200066909,Ordenada ao contrário
500,0.007650950003881008,Ordenada ao contrário
1000,0.03221840999322012,Ordenada ao contrário
1500,0.07340770000591874,Ordenada ao contrário
2000,0.13289137999527156,Ordenada ao contrário
3000,0.30205920000444164,Ordenada ao contrário
500,0.007826999993994832,Ordenada ao contrário
1000,0.032312959991395475,Ordenada ao contrário
1500,0.07481751000741496,Ordenada ao contrário
2000,0.13370851000072434,Ordenada ao contrário
3000,0.3073560299992096,Ordenada ao contrário
500,0.007738919998519123,Ordenada ao contrário
1000,0.03353972000186332,Ordenada ao contrário
1500,0.07936568000586704,Ordenada ao contrário
2000,0.13366267000092194,Ordenada ao contrário
3000,0.30815373999648726,Ordenada ao contrário
500,0.007846769999014213,Ordenada ao contrário
1000,0.03344554999493994,Ordenada ao contrário
1500,0.0770680799963884,Ordenada ao contrário
2000,0.13511123000644149,Ordenada ao contrário
3000,0.3074418300006073,Ordenada ao contrário
500,0.007818869996117427,Ordenada ao contrário
1000,0.03375925000873394,Ordenada ao contrário
1500,0.07659689999418333,Ordenada ao contrário
2000,0.13526182999485173,Ordenada ao contrário
3000,0.30916227999841794,Ordenada ao contrário
500,0.007575710013043135,Ordenada ao contrário
1000,0.03227515000035055,Ordenada ao contrário
1500,0.07538796000299045,Ordenada ao contrário
2000,0.13544065001187847,Ordenada ao contrário
3000,0.30911942999227904,Ordenada ao contrário
500,0.008540840004570782,Ordenada ao contrário
1000,0.03245811999076977,Ordenada ao contrário
1500,0.07475199999753386,Ordenada ao contrário
2000,0.1367398500093259,Ordenada ao contrário
3000,0.30669808000093324,Ordenada ao contrário
500,0.007652259996393696,Ordenada ao contrário
1000,0.03219433999620378,Ordenada ao contrário
1500,0.07586234000045806,Ordenada ao contrário
2000,0.15197867000242696,Ordenada ao contrário
3000,0.3059589100186713,Ordenada ao contrário
500,0.007607360003748909,Ordenada ao contrário
1000,0.03208181998925284,Ordenada ao contrário
1500,0.07512248999555596,Ordenada ao contrário
2000,0.13589816000312566,Ordenada ao contrário
3000,0.30814059999538584,Ordenada ao contrário
500,0.007893319998402148,Ordenada ao contrário
1000,0.03248787000775337,Ordenada ao contrário
1500,0.07926627999404445,Ordenada ao contrário
2000,0.13406543001183308,Ordenada ao contrário
3000,0.3123578699945938,Ordenada ao contrário
500,0.00755561999976635,Ordenada ao contrário
1000,0.031659280002349986,Ordenada ao contrário
1500,0.07416197998682036,Ordenada ao contrário
2000,0.1396431000030134,Ordenada ao contrário
3000,0.3165591900120489,Ordenada ao contrário
500,0.007446800003526733,Ordenada ao contrário
1000,0.03216992000234313,Ordenada ao contrário
1500,0.08054692000732758,Ordenada ao contrário
2000,0.14209923999733293,Ordenada ao contrário
3000,0.3149636999994982,Ordenada ao contrário
500,0.007877970003755763,Ordenada ao contrário
1000,0.031588099990040065,Ordenada ao contrário
1500,0.072834780003177,Ordenada ao contrário
2000,0.13088543998892418,Ordenada ao contrário
3000,0.3014076000021305,Ordenada ao contrário
500,0.0076618699997197835,Ordenada ao contrário
1000,0.03327576998854056,Ordenada ao contrário
1500,0.07583493998972698,Ordenada ao contrário
2000,0.1322553400066681,Ordenada ao contrário
3000,0.29812966999597845,Ordenada ao contrário
500,0.007732980005675927,Ordenada ao contrário
1000,0.03222953999647871,Ordenada ao contrário
1500,0.07352483000140637,Ordenada ao contrário
2000,0.1324535499967169,Ordenada ao contrário
3000,0.30563979999278673,Ordenada ao contrário
500,0.007505240000318736,Ordenada ao contrário
1000,0.03199596999329515,Ordenada ao contrário
1500,0.07358435000642202,Ordenada ao contrário
2000,0.13285830001113935,Ordenada ao contrário
3000,0.3092715100152418,Ordenada ao contrário
500,0.007628060004208237,Ordenada ao contrário
1000,0.03298690001247451,Ordenada ao contrário
1500,0.07368271001032553,Ordenada ao contrário
2000,0.13223538000602275,Ordenada ao contrário
3000,0.30816697000991555,Ordenada ao contrário
500,0.007803169992985204,Ordenada ao contrário
1000,0.03251815998228267,Ordenada ao contrário
1500,0.07436121000209824,Ordenada ao contrário
2000,0.13187218000530265,Ordenada ao contrário
3000,0.3068349099950865,Ordenada ao contrário
500,0.007685250008944422,Ordenada ao contrário
1000,0.03258893000893295,Ordenada ao contrário
1500,0.07497134999139235,Ordenada ao contrário
2000,0.13486590999527834,Ordenada ao contrário
3000,0.30469230000162495,Ordenada ao contrário
500,0.008998170011909678,Ordenada ao contrário
1000,0.032491869997465984,Ordenada ao contrário
1500,0.07453186999773606,Ordenada ao contrário
2000,0.13178272000513971,Ordenada ao contrário
3000,0.3015117699920665,Ordenada ao contrário
500,0.00765230999677442,Ordenada ao contrário
1000,0.0318020100123249,Ordenada ao contrário
1500,0.07399871998932213,Ordenada ao contrário
2000,0.1310863399936352,Ordenada ao contrário
3000,0.2993417700054124,Ordenada ao contrário
500,0.007723799999803304,Ordenada ao contrário
1000,0.031807360018137845,Ordenada ao contrário
1500,0.07400885999086312,Ordenada ao contrário
2000,0.13458457000087948,Ordenada ao contrário
3000,0.30477967000333595,Ordenada ao contrário
500,0.007564749993616715,Ordenada ao contrário
1000,0.03231429999577813,Ordenada ao contrário
1500,0.07393130999407731,Ordenada ao contrário
2000,0.13221290000365116,Ordenada ao contrário
3000,0.3026527099951636,Ordenada ao contrário
500,0.00770935999462381,Ordenada ao contrário
1000,0.03210093999514356,Ordenada ao contrário
1500,0.0737824899959378,Ordenada ao contrário
2000,0.13232688001007772,Ordenada ao contrário
3000,0.29947435000212863,Ordenada ao contrário
500,0.007467039988841862,Ordenada ao contrário
1000,0.03229295999626629,Ordenada ao contrário
1500,0.07698969999910332,Ordenada ao contrário
