Tamanho da lista,Tempo Médio (s),
2000,0.06838312000618316,Desordenada
3000,0.15557217999594286,Desordenada
500,0.003956759988795966,Desordenada
1000,0.01672783000394702,Desordenada
1500,0.038434620009502395,Desordenada
2000,0.06751592000364326,Desordenada
3000,0.15557656000019052,Desordenada
500,0.003991939994739369,Desordenada
1000,0.019808910001302138,Desordenada
1500,0.0392805999959819,Desordenada
2000,0.06927676998893731,Desordenada
3000,0.15987099998746998,Desordenada
500,0.0039237499935552474,Desordenada
1000,0.016961540008196607,Desordenada
1500,0.03825013000750914,Desordenada
2000,0.07111309999600053,Desordenada
3000,0.17674477000255137,Desordenada
500,0.0041373300016857685,Desordenada
1000,0.016720760002499446,Desordenada
1500,0.043233899981714785,Desordenada
2000,0.07421524999663234,Desordenada
3000,0.15864708999288268,Desordenada
500,0.0039661799964960665,Desordenada
1000,0.01744638998643495,Desordenada
1500,0.039484700001776216,Desordenada
2000,0.06922887000255287,Desordenada
3000,0.15525857998873108,Desordenada
500,0.005448949994752183,Desordenada
1000,0.017095430014887825,Desordenada
1500,0.03942209000815637,Desordenada
2000,0.07126215000171214,Desordenada
3000,0.15704012000351214,Desordenada
500,0.004010710003785789,Desordenada
1000,0.020118830003775658,Desordenada
1500,0.038536679989192635,Desordenada
2000,0.0681539100012742,Desordenada
3000,0.15359229000168853,Desordenada
500,0.004020859999582171,Desordenada
1000,0.01687175999977626,Desordenada
1500,0.03814641999779269,Desordenada
2000,0.06894846000359393,Desordenada
3000,0.15559951998875476,Desordenada
500,0.003952890000073239,Desordenada
1000,0.016820650012232364,Desordenada
1500,0.03869762999820523,Desordenada
2000,0.06785341000650078,Desordenada
3000,0.15299467000295408,Desordenada
500,0.003938699985155836,Desordenada
1000,0.017956710001453758,Desordenada
1500,0.038495129981311035,Desordenada
2000,0.06892945001018233,Desordenada
3000,0.1544502999924589,Desordenada
500,0.004026070004329085,Desordenada
1000,0.016784860019106417,Desordenada
1500,0.03760934999445453,Desordenada
2000,0.06752167999511585,Desordenada
3000,0.15493892000522463,Desordenada
500,0.003951559995766729,Desordenada
1000,0.01764070999925025,Desordenada
1500,0.039625960006378594,Desordenada
2000,0.0696340599854011,Desordenada
3000,0.15613973999861627,Desordenada
500,0.003940110007533804,Desordenada
1000,0.017210879997583105,Desordenada
1500,0.03962294998927973,Desordenada
2000,0.06846438000793569,Desordenada
3000,0.15654428998823278,Desordenada
500,0.004044560005422681,Desordenada
1000,0.018730989994946868,Desordenada
1500,0.04160667000105604,Desordenada
2000,0.06866843999596313,Desordenada
3000,0.15959863000898622,Desordenada
500,0.004149309993954376,Desordenada
1000,0.017555929999798537,Desordenada
1500,0.03998055999400094,Desordenada
2000,0.06882946999976411,Desordenada
3000,0.16699062000843695,Desordenada
500,0.00402604000410065,Desordenada
1000,0.017129689996363596,Desordenada
1500,0.03897443999303505,Desordenada
2000,0.07145612998865544,Desordenada
3000,0.15529755999450573,Desordenada
500,0.0038878399995155633,Desordenada
1000,0.017038939998019486,Desordenada
1500,0.044007780007086696,Desordenada
2000,0.07104903999716043,Desordenada
3000,0.15413436000235378,Desordenada
500,0.0047897700045723465,Desordenada
1000,0.01980465999804437,Desordenada
1500,0.04063046999508515,Desordenada
2000,0.0688689999980852,Desordenada
3000,0.15414028999512083,Desordenada
500,0.0038763699994888157,Desordenada
1000,0.01831381000811234,Desordenada
1500,0.03943171999999322,Desordenada
2000,0.06967927999794483,Desordenada
3000,0.16041892999201082,Desordenada
500,0.003949829994235187,Desordenada
1000,0.01677905998658389,Desordenada
1500,0.0389239699987229,Desordenada
2000,0.07180210999795236,Desordenada
3000,0.1551617399964016,Desordenada
500,0.0039937199908308685,Desordenada
1000,0.017019229993456973,Desordenada
1500,0.03857634001760744,Desordenada
2000,0.06943494999432005,Desordenada
3000,0.15699316000100225,Desordenada
500,0.0040220600028987976,Desordenada
1000,0.017010680004023015,Desordenada
1500,0.04075756999664008,Desordenada
2000,0.07100089000887237,Desordenada
3000,0.16283511999063194,Desordenada
500,0.004136130004189909,Desordenada
1000,0.017562559997895733,Desordenada
1500,0.03928252999903634,Desordenada
2000,0.0687412699975539,Desordenada
3000,0.158098389999941,Desordenada
500,0.003974550002021715,Desordenada
1000,0.017299510003067554,Desordenada
1500,0.03915008999756538,Desordenada
2000,0.06941189999342896,Desordenada
3000,0.15997946000425145,Desordenada
500,0.003974710003240034,Desordenada
1000,0.017146710003726185,Desordenada
1500,0.039149309997446834,Desordenada
2000,0.06879301999579183,Desordenada
3000,0.15532452998450025,Desordenada
500,0.003941179980756715,Desordenada
1000,0.017100000008940696,Desordenada
1500,0.03868158998666331,Desordenada
2000,0.06845613000332378,Desordenada
3000,0.15705368000199088,Desordenada
500,0.004028829996241256,Desordenada
1000,0.01645908000646159,Desordenada
1500,0.03906180001213215,Desordenada
2000,0.0692068100150209,Desordenada
3000,0.15499000000418164,Desordenada
500,0.00398879999993369,Desordenada
1000,0.016893019998678937,Desordenada
1500,0.03842131000710651,Desordenada
2000,0.06908551000524313,Desordenada
3000,0.1571805200073868,Desordenada
500,0.003981379995821044,Desordenada
1000,0.016761269996641202,Desordenada
1500,0.039465829997789116,Desordenada
2000,0.06883614000980742,Desordenada
3000,0.15385974998935126,Desordenada
500,0.00386786000453867,Desordenada
1000,0.01671893000602722,Desordenada
1500,0.038885660003870726,Desordenada
2000,0.06935025998973288,Desordenada
3000,0.15731766000390052,Desordenada
500,0.003956509992713108,Desordenada
1000,0.01826475000125356,Desordenada
1500,0.038822299992898476,Desordenada
2000,0.06908220000332221,Desordenada
3000,0.1537458699895069,Desordenada
500,0.003919579996727407,Desordenada
1000,0.01656159999547526,Desordenada
1500,0.03873278999235481,Desordenada
2000,0.06854832998360508,Desordenada
3000,0.1529312399914488,Desordenada
500,0.004138760000932962,Desordenada
1000,0.01696465999702923,Desordenada
1500,0.03886979998787865,Desordenada
2000,0.06922970998566598,Desordenada
3000,0.15354229000513442,Desordenada
500,0.00393316000699997,Desordenada
1000,0.016776539990678428,Desordenada
1500,0.038295030000153926,Desordenada
2000,0.071911930013448,Desordenada
3000,0.1551575999998022,Desordenada
500,0.0039999599975999445,Desordenada
1000,0.017349680000916124,Desordenada
1500,0.0383935900114011,Desordenada
2000,0.06865788999712094,Desordenada
3000,0.1560503200045787,Desordenada
500,0.004031729995040223,Desordenada
1000,0.017202220001490787,Desordenada
1500,0.0393967600131873,Desordenada
2000,0.07105063999770209,Desordenada
3000,0.16175667999777943,Desordenada
500,0.0041574600036256015,Desordenada
1000,0.01735264001181349,Desordenada
1500,0.038673969998490064,Desordenada
2000,0.07160013000248,Desordenada
3000,0.1578611700097099,Desordenada
500,0.004017769999336451,Desordenada
1000,0.016830920008942485,Desordenada
1500,0.038749609998194504,Desordenada
2000,0.0696518900047522,Desordenada
3000,0.15850687999045476,Desordenada
500,0.004854209994664416,Desordenada
1000,0.016931280004791917,Desordenada
1500,0.03989944001659751,Desordenada
2000,0.06796951999422163,Desordenada
3000,0.15609786999993958,Desordenada
500,0.00392697001225315,Desordenada
1000,0.0170232699951157,Desordenada
1500,0.03863257999182679,Desordenada
2000,0.06955156000331045,Desordenada
3000,0.15388779999339022,Desordenada
500,0.003926569997565821,Desordenada
1000,0.017123219993663952,Desordenada
1500,0.03761077999952249,Desordenada
2000,0.06756270999321715,Desordenada
3000,0.16557003999478184,Desordenada
500,0.0039638300077058375,Desordenada
1000,0.01653889999142848,Desordenada
1500,0.03847901000408456,Desordenada
